,group,user,task_id,puzzle_difficulty,completed,timestamp,active_time,percentileActiveTime,n_events,percentileEvents,n_check_solution,percentileAtt,percentileComposite,persistence,n_breaks,n_snapshot,n_rotate_view,n_manipulation_events,time_failed_submission_exit,avg_time_between_submissions,cum_weighted_difficulty_perc_composite,percentileCompositeAcrossAttempts,persistenceAcrossAttempts,cum_global_puzzle_attempts,cum_this_puzzle_attempt,cum_avg_perc_composite,cum_avg_persistence
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Square Cross-Sections,0.199714,0.0,2019-09-09 13:53:54.864841-04:00,109.35,39.65,42.0,39.21,1.0,45.81,41.56,NO_BEHAVIOR,0.0,0.0,2.0,13.0,2.54,45.81,58.68,34.78,NORMAL_PERSISTANCE,10.0,1,60.4,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 10.0, ""PRODUCTIVE_PERSISTANCE"": 40.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bear Market~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bear Market,1.0,0.0,2019-09-09 13:55:38.559441-04:00,10.22,31.39,5.0,40.88,0.0,69.34,47.2,NO_BEHAVIOR,0.0,0.0,0.0,0.0,NA,NA,52.78,47.83,NORMAL_PERSISTANCE,11.0,1,59.2,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 9.09, ""PRODUCTIVE_PERSISTANCE"": 36.36, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 54.55}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections~2,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Square Cross-Sections,0.199714,1.0,2019-09-09 13:55:54.816700-04:00,643.75,95.59,227.0,92.95,6.0,90.75,93.1,PRODUCTIVE_PERSISTANCE,2.0,0.0,18.0,35.0,NA,116.36,56.53,100.0,MORE_PERSISTANCE_THAN_NORMAL,12.0,2,62.02,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 8.33, ""PRODUCTIVE_PERSISTANCE"": 41.67, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bird Fez,0.156674,1.0,2019-09-09 14:07:40.446621-04:00,147.29,48.13,58.0,45.79,5.0,85.05,59.66,NO_BEHAVIOR,0.0,0.0,2.0,19.0,NA,27.9,56.75,56.52,NORMAL_PERSISTANCE,13.0,1,61.84,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 7.69, ""PRODUCTIVE_PERSISTANCE"": 38.46, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 53.85}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Pi Henge~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Pi Henge,0.067346,1.0,2019-09-09 14:10:07.782430-04:00,106.05,54.76,43.0,47.02,1.0,65.48,55.75,NO_BEHAVIOR,0.0,0.0,0.0,16.0,NA,98.45,56.72,52.17,NORMAL_PERSISTANCE,14.0,1,61.41,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 7.14, ""PRODUCTIVE_PERSISTANCE"": 35.71, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 57.14}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~45-Degree Rotations~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,45-Degree Rotations,0.096715,1.0,2019-09-09 21:04:55.874008-04:00,356.65,90.36,218.0,93.98,3.0,90.36,91.57,PRODUCTIVE_PERSISTANCE,0.0,0.0,48.0,74.0,NA,50.04,58.09,95.65,MORE_PERSISTANCE_THAN_NORMAL,18.0,1,52.85,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 5.56, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 44.44}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Sandbox~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Sandbox,1e-06,0.0,2019-09-09 20:58:15.775176-04:00,79.37,40.7,69.0,44.19,0.0,98.84,61.24,NO_BEHAVIOR,4.0,0.0,50.0,5.0,NA,NA,58.09,60.87,NORMAL_PERSISTANCE,15.0,1,67.5,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 6.67, ""PRODUCTIVE_PERSISTANCE"": 40.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 60.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~2,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bird Fez,0.156674,1.0,2019-09-09 21:01:58.249869-04:00,119.32,38.32,56.0,42.99,1.0,45.79,42.37,NO_BEHAVIOR,2.0,0.0,14.0,16.0,NA,87.96,57.15,39.13,NORMAL_PERSISTANCE,16.0,2,65.93,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 6.25, ""PRODUCTIVE_PERSISTANCE"": 37.5, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 62.5}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections~3,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Square Cross-Sections,0.199714,1.0,2019-09-09 21:03:43.754155-04:00,70.46,24.67,38.0,35.24,1.0,45.81,35.24,NO_BEHAVIOR,0.0,0.0,6.0,9.0,NA,45.87,55.6,21.74,LESS_PERSISTANCE_THAN_NORMAL,17.0,3,64.12,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 5.88, ""PRODUCTIVE_PERSISTANCE"": 35.29, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 64.71}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Pyramids are Strange~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Pyramids are Strange,0.1796,1.0,2019-09-10 13:33:35.189998-04:00,81.99,27.23,37.0,23.04,1.0,42.41,30.89,NO_BEHAVIOR,2.0,0.0,1.0,15.0,NA,76.91,54.12,13.04,LESS_PERSISTANCE_THAN_NORMAL,19.0,1,59.0,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 5.26, ""PRODUCTIVE_PERSISTANCE"": 31.58, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 63.16}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Boxes Obscure Spheres~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Boxes Obscure Spheres,0.266198,0.0,2019-09-10 13:34:57.189334-04:00,154.24,39.38,46.0,32.12,2.0,46.11,39.21,NO_BEHAVIOR,2.0,0.0,13.0,10.0,79.65,45.03,52.9,26.09,NORMAL_PERSISTANCE,20.0,1,58.01,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 5.0, ""PRODUCTIVE_PERSISTANCE"": 30.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 65.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~3,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bird Fez,0.156674,1.0,2019-09-11 20:46:21.813958-04:00,95.86,27.57,57.0,44.86,2.0,63.55,45.33,NO_BEHAVIOR,2.0,0.0,21.0,13.0,NA,78.45,52.56,43.48,NORMAL_PERSISTANCE,21.0,3,57.41,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 4.76, ""PRODUCTIVE_PERSISTANCE"": 28.57, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~1. One Box~2,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,1. One Box,2e-06,1.0,2019-11-07 15:11:50.891058-05:00,52.37,57.33,56.0,92.33,1.0,100.0,83.22,PRODUCTIVE_PERSISTANCE,1.0,0.0,25.0,1.0,NA,28.31,52.56,78.26,MORE_PERSISTANCE_THAN_NORMAL,22.0,2,58.58,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 4.55, ""PRODUCTIVE_PERSISTANCE"": 31.82, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 63.64}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez~4,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bird Fez,0.156674,1.0,2019-11-07 15:12:33.678401-05:00,97.76,28.04,37.0,23.83,1.0,45.79,32.55,NO_BEHAVIOR,0.0,0.0,4.0,13.0,NA,83.2,51.68,17.39,LESS_PERSISTANCE_THAN_NORMAL,23.0,4,57.45,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 4.35, ""PRODUCTIVE_PERSISTANCE"": 30.43, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 65.22}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~1. One Box~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,1. One Box,2e-06,1.0,2019-09-09 13:30:26.706374-04:00,69.26,71.67,41.0,87.33,1.0,100.0,86.33,PRODUCTIVE_PERSISTANCE,0.0,0.0,0.0,27.0,NA,26.76,86.33,92.0,MORE_PERSISTANCE_THAN_NORMAL,1.0,1,86.33,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 100.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~2. Separated Boxes~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,2. Separated Boxes,0.111127,1.0,2019-09-09 13:31:01.219432-04:00,53.95,32.73,44.0,73.74,2.0,62.95,56.47,NO_BEHAVIOR,0.0,0.0,0.0,22.0,NA,25.02,56.48,32.0,NORMAL_PERSISTANCE,2.0,1,71.4,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 50.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~2. Separated Boxes~2,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,2. Separated Boxes,0.111127,1.0,2019-09-09 13:31:56.435671-04:00,55.75,33.81,27.0,51.08,2.0,62.95,49.28,NO_BEHAVIOR,0.0,0.0,0.0,15.0,NA,24.13,52.88,16.0,LESS_PERSISTANCE_THAN_NORMAL,3.0,2,64.03,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~3. Rotate a Pyramid~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,3. Rotate a Pyramid,0.083447,1.0,2019-09-09 13:32:53.618827-04:00,65.09,50.36,34.0,64.6,3.0,88.32,67.76,NO_BEHAVIOR,0.0,0.0,0.0,18.0,NA,14.66,56.94,48.0,NORMAL_PERSISTANCE,4.0,1,64.96,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 75.0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~3. Rotate a Pyramid~2,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,3. Rotate a Pyramid,0.083447,1.0,2019-09-09 13:33:58.535981-04:00,41.21,29.2,24.0,50.73,2.0,73.36,51.09,NO_BEHAVIOR,0.0,0.0,0.0,13.0,NA,13.2,55.69,24.0,LESS_PERSISTANCE_THAN_NORMAL,5.0,2,62.19,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 80.0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~4. Match Silhouettes~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,4. Match Silhouettes,0.061887,1.0,2019-09-09 13:34:39.971449-04:00,10.09,0.75,9.0,1.49,1.0,61.19,21.14,RAPID_SOLVER,0.0,0.0,0.0,1.0,NA,0.72,50.95,4.0,LESS_PERSISTANCE_THAN_NORMAL,6.0,1,55.35,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 16.67, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~4. Match Silhouettes~2,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,4. Match Silhouettes,0.061887,1.0,2019-09-09 13:34:47.721417-04:00,167.67,76.87,131.0,87.69,3.0,86.19,83.58,PRODUCTIVE_PERSISTANCE,0.0,0.0,6.0,68.0,NA,53.54,54.89,80.0,MORE_PERSISTANCE_THAN_NORMAL,7.0,2,59.38,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 14.29, ""PRODUCTIVE_PERSISTANCE"": 28.57, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 57.14}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~5. Removing Objects~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,5. Removing Objects,0.106021,1.0,2019-09-09 13:37:35.682346-04:00,65.46,31.2,49.0,54.14,2.0,68.42,51.25,NO_BEHAVIOR,0.0,0.0,11.0,13.0,NA,28.44,54.26,28.0,NORMAL_PERSISTANCE,8.0,1,58.37,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 12.5, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 62.5}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~5. Removing Objects~2,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,5. Removing Objects,0.106021,1.0,2019-09-09 13:38:40.441707-04:00,309.15,81.58,205.0,92.86,2.0,68.42,80.95,PRODUCTIVE_PERSISTANCE,0.0,5.0,48.0,63.0,NA,151.17,58.17,76.0,MORE_PERSISTANCE_THAN_NORMAL,9.0,2,60.88,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 11.11, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 55.56}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~6. Stretch a Ramp~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,6. Stretch a Ramp,0.107035,1.0,2019-09-09 13:43:51.132200-04:00,32.25,11.07,23.0,25.41,1.0,36.89,24.45,RAPID_SOLVER,0.0,0.0,11.0,3.0,NA,23.8,53.83,8.0,LESS_PERSISTANCE_THAN_NORMAL,10.0,1,57.23,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 20.0, ""PRODUCTIVE_PERSISTANCE"": 30.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~7. Max 2 Boxes~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,7. Max 2 Boxes,0.078039,0.0,2019-09-09 13:44:23.397589-04:00,401.4,95.14,274.0,97.98,5.0,95.14,96.09,UNPRODUCTIVE_PERSISTANCE,0.0,4.0,70.0,82.0,266.97,72.71,57.45,100.0,MORE_PERSISTANCE_THAN_NORMAL,11.0,1,60.77,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 18.18, ""PRODUCTIVE_PERSISTANCE"": 27.27, ""UNPRODUCTIVE_PERSISTANCE"": 9.09, ""NO_BEHAVIOR"": 45.45}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Sandbox~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Sandbox,1e-06,1.0,2019-09-09 13:51:04.676590-04:00,533.75,83.72,213.0,69.77,3.0,100.0,84.5,PRODUCTIVE_PERSISTANCE,0.0,0.0,0.0,25.0,NA,175.48,57.45,84.0,MORE_PERSISTANCE_THAN_NORMAL,12.0,1,62.74,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 16.67, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 8.33, ""NO_BEHAVIOR"": 41.67}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~6. Stretch a Ramp~2,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,6. Stretch a Ramp,0.107035,1.0,2019-09-09 13:59:59.551560-04:00,206.54,78.69,73.0,72.54,5.0,90.98,80.74,PRODUCTIVE_PERSISTANCE,0.0,0.0,11.0,34.0,NA,39.6,59.9,72.0,NORMAL_PERSISTANCE,13.0,2,64.13,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 15.38, ""PRODUCTIVE_PERSISTANCE"": 38.46, ""UNPRODUCTIVE_PERSISTANCE"": 7.69, ""NO_BEHAVIOR"": 38.46}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~7. Max 2 Boxes~2,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,7. Max 2 Boxes,0.078039,1.0,2019-09-09 14:03:26.301570-04:00,87.09,68.42,38.0,66.8,3.0,90.69,75.3,PRODUCTIVE_PERSISTANCE,0.0,0.0,14.0,7.0,NA,26.49,61.0,60.0,NORMAL_PERSISTANCE,14.0,2,64.93,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 14.29, ""PRODUCTIVE_PERSISTANCE"": 42.86, ""UNPRODUCTIVE_PERSISTANCE"": 7.14, ""NO_BEHAVIOR"": 35.71}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~8. Combine 2 Ramps~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,8. Combine 2 Ramps,0.068608,1.0,2019-09-09 14:04:52.672488-04:00,67.95,42.08,30.0,33.94,1.0,75.11,50.38,NO_BEHAVIOR,0.0,0.0,1.0,14.0,NA,58.96,60.37,20.0,LESS_PERSISTANCE_THAN_NORMAL,15.0,1,63.96,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 13.33, ""PRODUCTIVE_PERSISTANCE"": 40.0, ""UNPRODUCTIVE_PERSISTANCE"": 6.67, ""NO_BEHAVIOR"": 40.0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~9. Scaling Round Objects~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,9. Scaling Round Objects,0.128647,1.0,2019-09-09 14:06:00.855294-04:00,214.89,72.69,85.0,68.98,3.0,85.19,75.62,PRODUCTIVE_PERSISTANCE,0.0,0.0,0.0,36.0,NA,68.96,61.89,64.0,NORMAL_PERSISTANCE,16.0,1,64.68,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 12.5, ""PRODUCTIVE_PERSISTANCE"": 43.75, ""UNPRODUCTIVE_PERSISTANCE"": 6.25, ""NO_BEHAVIOR"": 37.5}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Square Cross-Sections~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Square Cross-Sections,0.199714,1.0,2019-09-10 13:41:17.916542-04:00,375.42,84.14,152.0,83.7,6.0,90.75,86.2,PRODUCTIVE_PERSISTANCE,1.0,0.0,5.0,71.0,NA,36.03,65.14,88.0,MORE_PERSISTANCE_THAN_NORMAL,19.0,1,59.01,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 10.53, ""PRODUCTIVE_PERSISTANCE"": 42.11, ""UNPRODUCTIVE_PERSISTANCE"": 5.26, ""NO_BEHAVIOR"": 31.58}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Bird Fez~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Bird Fez,0.156674,1.0,2019-09-10 13:29:27.381725-04:00,199.09,63.08,73.0,55.61,3.0,73.36,64.02,NO_BEHAVIOR,6.0,0.0,5.0,30.0,NA,113.07,65.04,40.0,NORMAL_PERSISTANCE,17.0,1,69.72,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 11.76, ""PRODUCTIVE_PERSISTANCE"": 47.06, ""UNPRODUCTIVE_PERSISTANCE"": 5.88, ""NO_BEHAVIOR"": 41.18}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Pi Henge~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Pi Henge,0.067346,1.0,2019-09-10 13:38:11.342204-04:00,82.67,40.48,29.0,12.5,1.0,65.48,39.48,NO_BEHAVIOR,1.0,0.0,0.0,12.0,NA,69.2,64.04,12.0,LESS_PERSISTANCE_THAN_NORMAL,18.0,1,68.04,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 11.11, ""PRODUCTIVE_PERSISTANCE"": 44.44, ""UNPRODUCTIVE_PERSISTANCE"": 5.56, ""NO_BEHAVIOR"": 44.44}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~45-Degree Rotations~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,45-Degree Rotations,0.096715,1.0,2019-09-10 13:45:05.678145-04:00,171.84,70.48,66.0,61.45,2.0,82.53,71.49,NO_BEHAVIOR,0.0,0.0,0.0,37.0,NA,81.47,64.43,52.0,NORMAL_PERSISTANCE,20.0,1,64.81,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 10.0, ""PRODUCTIVE_PERSISTANCE"": 40.0, ""UNPRODUCTIVE_PERSISTANCE"": 5.0, ""NO_BEHAVIOR"": 45.0}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Pyramids are Strange~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Pyramids are Strange,0.1796,1.0,2019-09-10 13:48:50.702396-04:00,306.54,81.15,62.0,46.07,3.0,73.82,67.02,NO_BEHAVIOR,5.0,2.0,2.0,21.0,NA,81.97,64.67,44.0,NORMAL_PERSISTANCE,21.0,1,64.91,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 9.52, ""PRODUCTIVE_PERSISTANCE"": 38.1, ""UNPRODUCTIVE_PERSISTANCE"": 4.76, ""NO_BEHAVIOR"": 47.62}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Boxes Obscure Spheres~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Boxes Obscure Spheres,0.266198,0.0,2019-09-11 13:14:33.360670-04:00,701.79,95.85,202.0,89.12,16.0,97.93,94.3,UNPRODUCTIVE_PERSISTANCE,18.0,4.0,21.0,76.0,84280.61,15.78,68.16,96.0,MORE_PERSISTANCE_THAN_NORMAL,22.0,1,66.25,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 9.09, ""PRODUCTIVE_PERSISTANCE"": 36.36, ""UNPRODUCTIVE_PERSISTANCE"": 9.09, ""NO_BEHAVIOR"": 45.45}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Object Limits~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Object Limits,0.257177,0.0,2019-09-11 13:18:58.052067-04:00,287.07,85.88,49.0,52.94,6.0,82.94,73.92,NO_BEHAVIOR,6.0,1.0,8.0,18.0,174.72,45.68,68.75,56.0,NORMAL_PERSISTANCE,23.0,1,66.58,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 8.7, ""PRODUCTIVE_PERSISTANCE"": 34.78, ""UNPRODUCTIVE_PERSISTANCE"": 8.7, ""NO_BEHAVIOR"": 47.83}"
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Tetromino~1,cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Tetromino,0.226869,1.0,2019-09-11 13:23:43.777370-04:00,48.93,41.67,17.0,41.67,1.0,100.0,61.11,NO_BEHAVIOR,1.0,0.0,0.0,6.0,NA,37.37,68.12,36.0,NORMAL_PERSISTANCE,24.0,1,66.35,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 8.33, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 8.33, ""NO_BEHAVIOR"": 50.0}"
